Similarity,Student,Teacher,Student TP,Teacher SP,Overlap,Neither,Other
AB IAB A,AB IAB I,AB IA B,AB IAB IAB,AB IA AB,AB IAB IB,IA B I,AB IA IAB
AB IAB B,AB IA I,AB IB A,AB IA IA,AB IB AB,AB IAB IA,IA B A,AB IB IAB
AB IAB AB,AB IB I,IAB IA B,AB IB IB,IAB IA IAB,AB IA IB,IA B B,IB IA IAB
AB IA A,IB IAB A,IAB IB A,IB IAB IAB,IAB IB IAB,AB IB IA,IA B AB,IAB A AB
IAB IAB I,AB IAB I,IB IA B,AB IAB IAB,IB IA IB,IAB IA AB,IA B IB,IAB A IA
IAB IAB A,IB IA A,IAB A I,IB IA IA,IAB A IAB,IAB IA IB,IA B IA,AB IA IAB
IAB IAB B,AB IA I,IAB A B,AB IA IA,AB IA AB,IB IAB AB,IA B IAB,IB I IA
IAB IAB AB,IB AB A,IAB A IB,IB AB AB,IB I IB,IB IAB IA,IB A I,IB I IAB
IAB IAB IB,AB IB I,AB IA B,AB IB IB,IAB A IAB,AB IAB IB,IB A A,IAB A AB
IAB IAB IA,AB IAB I,IB I B,AB IAB IAB,IAB AB IAB,AB IAB IA,IB A B,IAB A IA
IAB IAB IAB,IB IAB A,IAB A I,IB IAB IAB,IB AB IB,IAB IB AB,IB A AB,IB IB IAB
AB IB B,IA IAB B,IAB A B,IA IAB IAB,IB I IB,IAB IB IA,IB A IB,IB AB IAB
IAB IA I,AB IA I,IAB A IB,AB IA IA,AB IB AB,IB IA AB,IB A IA,IB I IA
IAB IA A,IB IA A,IAB AB I,IB IA IA,AB B AB,AB IA IB,IB A IAB,IB I IAB
IAB IA IA,AB IB I,IB AB I,AB IB IB,IB B IB,IB I A,IA B I,AB IB IAB
IB IAB I,IA IB B,IB I B,IA IB IB,IAB B IAB,IB I AB,IA B A,AB B IB
IB IAB B,IB AB A,AB IB A,IB AB AB,AB A AB,IAB AB IB,IA B B,AB B IAB
IB IAB IB,IA AB B,AB B A,IA AB AB,IAB A IAB,IAB AB IA,IA B AB,IB B AB
AB IAB A,AB IAB I,IB B I,AB IAB IAB,IA A IA,IB IB A,IA B IB,IB B IAB
AB IAB B,AB IA I,IAB B I,AB IA IA,AB IA AB,IB IB AB,IA B IA,IAB B AB
AB IAB AB,AB IB I,IAB B A,AB IB IB,IB IA IB,IB IB IA,IA B IAB,IAB B IB
IAB IB I,B IAB I,IAB B IA,B IAB IAB,IAB IA IAB,IB AB IA,IB A I,AB A IA
IAB IB B,B IAB A,AB A B,B IB IB,AB IB AB,IB I A,IB A A,AB A IAB
IAB IB IB,B IAB IA,IAB A I,B AB AB,IAB IB IAB,IB I AB,IB A B,IAB A AB
IB IA I,B IB I,IAB A B,B IAB IAB,IA IB IA,AB IB IA,IB A AB,IAB A IA
IAB A A,B AB A,IAB A IB,B IB IB,IB AB IB,AB B I,IB A IB,IA A AB
AB IA A,B IAB I,IA A I,I IAB IAB,IAB AB IAB,AB B IA,IB A IA,IA A IAB
IB I I,B IAB A,AB IA B,A IAB IAB,IA AB IA,IB B A,IB A IAB,AB IA IAB
IAB A A,B IAB IA,IB IA B,A IAB IAB,AB B AB,IB B IA,AB I I,IB IA IAB
IAB AB A,B IB I,IAB IA B,B AB AB,IB B IB,AB A I,AB I A,IA IA IAB
IAB AB B,I IAB A,AB IB A,I IA IA,IAB B IAB,AB A IB,AB I B,AB IB IAB
IAB AB AB,I IAB B,IAB IB A,A IA IA,AB A AB,IA A B,AB I AB,IB IB IAB
IB IB I,I IAB AB,IA IB A,A IA IA,IAB A IAB,IA A IB,AB I IB,IA IB IAB
IB IB B,A IAB I,IB AB I,I IB IB,IA A IA,AB IAB IB,AB I IA,IB AB IAB
IB IB IB,A IAB B,IAB AB I,A AB AB,AB B AB,AB IAB IA,AB I IAB,AB AB IAB
IB AB B,A IAB IB,IA AB I,A AB AB,AB A AB,IB IAB AB,AB I I,IA AB IAB
IB I I,A IAB I,AB B A,I IAB IAB,AB IA AB,IB IAB IA,AB I A,AB B IB
AB IB B,A IAB B,IB B I,A IAB IAB,AB IB AB,IA IAB AB,AB I B,AB B IAB
AB B B,A IAB IB,IAB B I,A IAB IAB,AB B AB,IA IAB IB,AB I AB,IB B AB
IB B B,B AB A,IAB B A,I IA IA,AB A AB,AB IA IB,AB I IB,IB B IAB
IAB B B,I IA A,IAB B IA,A IA IA,IAB IA IAB,IB IA AB,AB I IA,IAB B AB
AB A A,A IA I,AB A B,A IA IA,IB IA IB,IAB IA AB,AB I IAB,IAB B IB
IAB A A,A IA I,IAB A I,I IB IB,IAB IB IAB,IAB IA IB,B IA I,AB A IA
IA A A,I IB B,IAB A B,A AB AB,IA IB IA,IA IA B,B IA A,AB A IAB
AB IAB A,A AB B,IAB A IB,A AB AB,IAB AB IAB,IA IA AB,B IA B,IAB A AB
AB IAB B,A AB B,IA A I,B IAB IAB,IA AB IA,IA IA IB,B IA AB,IAB A IA
AB IAB AB,I IAB A,AB B A,B IB IB,IB AB IB,AB IB IA,B IA IB,IA A AB
IB IAB I,I IAB B,AB A B,I IAB IAB,IAB B IAB,IB IB A,B IA IA,IA A IAB
IB IAB B,I IAB AB,AB IA B,A IAB IAB,IB B IB,IB IB AB,B IA IAB,AB AB IAB
IB IAB IB,A IAB I,AB IB A,A IAB IAB,IAB A IAB,IB IB IA,B A I,AB B IB
IAB IAB I,A IAB B,AB B A,IB IAB IAB,IA A IA,IAB IB AB,B A A,AB B IAB
IAB IAB A,A IAB IB,AB A B,IA IAB IAB,IAB I IAB,IAB IB IA,B A B,AB A IA
IAB IAB B,A IAB I,IAB IA B,A IA IA,IA I IA,IA IB AB,B A AB,AB A IAB
IAB IAB AB,A IAB B,IB IA B,I IA IA,IB I IB,IB AB IA,B A IB,AB IA IAB
IAB IAB IB,A IAB IB,IAB IB A,A IA IA,,AB AB I,B A IA,AB IB IAB
IAB IAB IA,I IA A,IA IB A,B AB AB,,AB AB IB,B A IAB,AB AB IAB
IAB IAB IAB,A IA I,IAB AB I,IB IA IA,,AB AB IA,B I I,AB B IB
IA IAB I,A IA I,IA AB I,I IB IB,,IAB AB IB,B I A,AB B IAB
IA IAB A,I IB B,IB AB I,IA IB IB,,IAB AB IA,B I B,AB A IA
IA IAB IA,A AB B,IAB B I,A AB AB,,IA AB IB,B I AB,AB A IAB
AB IA A,A AB B,IAB B A,A AB AB,,AB B I,B I IB,B IAB AB
IB IA I,B IAB I,IAB B IA,IA AB AB,,AB B IA,B I IA,B IAB IB
IAB IA I,B IAB A,IB B I,IB AB AB,,IB B A,B I IAB,B IB AB
