Value,Condition,Key,Teacher,Student
0.8118220567703247,Student,I,AB,IAB
1.4059158563613892,Similarity,A,AB,IAB
1.971761703491211,Similarity,B,AB,IAB
2.20938777923584,Similarity,AB,AB,IAB
1.2360316514968872,Overlap,IB,AB,IAB
1.0372169017791748,Overlap,IA,AB,IAB
1.5770339965820312,Student TP,IAB,AB,IAB
0.6237883567810059,Student,I,AB,IA
2.3528964519500732,Similarity,A,AB,IA
1.4669944047927856,Teacher,B,AB,IA
2.3740150928497314,Teacher SP,AB,AB,IA
1.276509165763855,Overlap,IB,AB,IA
0.8761863708496094,Student TP,IA,AB,IA
1.5868923664093018,Other,IAB,AB,IA
1.2867883443832397,Similarity,I,IAB,IAB
2.381822109222412,Similarity,A,IAB,IAB
1.7362699508666992,Similarity,B,IAB,IAB
2.4217166900634766,Similarity,AB,IAB,IAB
1.8569697141647339,Similarity,IB,IAB,IAB
2.3176004886627197,Similarity,IA,IAB,IAB
2.4756970405578613,Similarity,IAB,IAB,IAB
1.21576988697052,Student,I,AB,IB
1.2386218309402466,Teacher,A,AB,IB
1.2991076707839966,Similarity,B,AB,IB
2.497739553451538,Teacher SP,AB,AB,IB
1.185490369796753,Student TP,IB,AB,IB
1.523874044418335,Overlap,IA,AB,IB
1.6642085313796997,Other,IAB,AB,IB
1.3386900424957275,Similarity,I,IAB,IA
2.2655327320098877,Similarity,A,IAB,IA
1.8909646272659302,Teacher,B,IAB,IA
2.5260629653930664,Overlap,AB,IAB,IA
2.1418673992156982,Overlap,IB,IAB,IA
2.376450300216675,Similarity,IA,IAB,IA
2.7438595294952393,Teacher SP,IAB,IAB,IA
1.502644658088684,Similarity,I,IB,IAB
0.5125842690467834,Student,A,IB,IAB
1.6677120923995972,Similarity,B,IB,IAB
1.584244966506958,Overlap,AB,IB,IAB
1.6585116386413574,Similarity,IB,IB,IAB
1.4552515745162964,Overlap,IA,IB,IAB
1.6179852485656738,Student TP,IAB,IB,IAB
0.9376984238624573,Student,I,AB,IAB
1.4540265798568726,Similarity,A,AB,IAB
1.708831548690796,Similarity,B,AB,IAB
2.146209716796875,Similarity,AB,AB,IAB
1.1312512159347534,Overlap,IB,AB,IAB
1.1150550842285156,Overlap,IA,AB,IAB
1.4614722728729248,Student TP,IAB,AB,IAB
1.3982664346694946,Similarity,I,IAB,IB
2.5382165908813477,Teacher,A,IAB,IB
1.545054316520691,Similarity,B,IAB,IB
2.0695321559906006,Overlap,AB,IAB,IB
1.6856348514556885,Similarity,IB,IAB,IB
2.489244222640991,Overlap,IA,IAB,IB
2.0302555561065674,Teacher SP,IAB,IAB,IB
2.137564182281494,Similarity,I,IB,IA
2.0494186878204346,Student,A,IB,IA
2.5141327381134033,Teacher,B,IB,IA
2.5022218227386475,Overlap,AB,IB,IA
2.620898962020874,Teacher SP,IB,IB,IA
2.110215663909912,Student TP,IA,IB,IA
2.5964434146881104,Other,IAB,IB,IA
1.9394227266311646,Teacher,I,IAB,A
0.9872454404830933,Similarity,A,IAB,A
1.5789788961410522,Teacher,B,IAB,A
2.1593172550201416,Other,AB,IAB,A
2.0260632038116455,Teacher,IB,IAB,A
2.7609081268310547,Other,IA,IAB,A
3.4474406242370605,Teacher SP,IAB,IAB,A
0.5928034782409668,Student,I,AB,IA
2.381051540374756,Similarity,A,AB,IA
1.4553608894348145,Teacher,B,AB,IA
2.3225584030151367,Teacher SP,AB,AB,IA
1.2156274318695068,Overlap,IB,AB,IA
0.8543951511383057,Student TP,IA,AB,IA
1.5171228647232056,Other,IAB,AB,IA
1.973638892173767,Similarity,I,IB,I
2.0827553272247314,Overlap,A,IB,I
2.504760503768921,Teacher,B,IB,I
2.5114104747772217,Overlap,AB,IB,I
2.6158034801483154,Teacher SP,IB,IB,I
1.9624475240707397,Other,IA,IB,I
2.629958152770996,Other,IAB,IB,I
4.112229347229004,Teacher,I,IAB,A
0.9057539105415344,Similarity,A,IAB,A
2.1199638843536377,Teacher,B,IAB,A
2.5966384410858154,Other,AB,IAB,A
4.226559638977051,Teacher,IB,IAB,A
5.361973285675049,Other,IA,IAB,A
5.998866558074951,Teacher SP,IAB,IAB,A
2.2455837726593018,Teacher,I,IAB,AB
2.1716177463531494,Similarity,A,IAB,AB
1.6300486326217651,Similarity,B,IAB,AB
2.2713699340820312,Similarity,AB,IAB,AB
2.140763282775879,Overlap,IB,IAB,AB
2.7392401695251465,Overlap,IA,IAB,AB
2.968167543411255,Teacher SP,IAB,IAB,AB
1.3692474365234375,Similarity,I,IB,IB
0.49557921290397644,Overlap,A,IB,IB
1.688768982887268,Similarity,B,IB,IB
1.6424851417541504,Overlap,AB,IB,IB
1.6670916080474854,Similarity,IB,IB,IB
1.315255880355835,Overlap,IA,IB,IB
1.6714354753494263,Other,IAB,IB,IB
3.4921910762786865,Teacher,I,IB,AB
2.787273406982422,Student,A,IB,AB
2.444087505340576,Similarity,B,IB,AB
2.4030487537384033,Student TP,AB,IB,AB
3.690572500228882,Teacher SP,IB,IB,AB
3.4878451824188232,Overlap,IA,IB,AB
3.6576411724090576,Other,IAB,IB,AB
2.1121010780334473,Similarity,I,IB,I
2.158379316329956,Overlap,A,IB,I
2.4743869304656982,Teacher,B,IB,I
2.4805729389190674,Overlap,AB,IB,I
2.5321109294891357,Teacher SP,IB,IB,I
2.1066839694976807,Other,IA,IB,I
2.529824733734131,Other,IAB,IB,I
1.2512147426605225,Student,I,AB,IB
1.3061829805374146,Teacher,A,AB,IB
1.3937050104141235,Similarity,B,AB,IB
2.563077688217163,Teacher SP,AB,AB,IB
1.1853110790252686,Student TP,IB,AB,IB
1.588126301765442,Overlap,IA,AB,IB
1.665733814239502,Other,IAB,AB,IB
3.7700355052948,Overlap,I,AB,B
2.4829347133636475,Teacher,A,AB,B
1.0162794589996338,Similarity,B,AB,B
2.526310443878174,Teacher SP,AB,AB,B
3.5611212253570557,Other,IB,AB,B
3.6100339889526367,Overlap,IA,AB,B
3.47210955619812,Other,IAB,AB,B
2.1896703243255615,Teacher,I,IB,B
1.6853052377700806,Overlap,A,IB,B
2.293628454208374,Similarity,B,IB,B
2.4071812629699707,Other,AB,IB,B
2.7656052112579346,Teacher SP,IB,IB,B
