Value,Condition,Key,Teacher,Student
9.125,Student,I,AB,IAB
9.6875,Similarity,A,AB,IAB
0.40625,Similarity,B,AB,IAB
14.28125,Similarity,AB,AB,IAB
10.3125,Overlap,IB,AB,IAB
10.34375,Overlap,IA,AB,IAB
9.625,Student TP,IAB,AB,IAB
20.53125,Student,I,AB,IA
15.0,Similarity,A,AB,IA
12.6875,Teacher,B,AB,IA
7.34375,Teacher SP,AB,AB,IA
14.5625,Overlap,IB,AB,IA
21.34375,Student TP,IA,AB,IA
13.8125,Other,IAB,AB,IA
28.84375,Similarity,I,IAB,IAB
0.8125,Similarity,A,IAB,IAB
4.3125,Similarity,B,IAB,IAB
4.3125,Similarity,AB,IAB,IAB
11.46875,Similarity,IB,IAB,IAB
8.0,Similarity,IA,IAB,IAB
7.9375,Similarity,IAB,IAB,IAB
14.3125,Student,I,AB,IB
27.6875,Teacher,A,AB,IB
30.3125,Similarity,B,AB,IB
9.625,Teacher SP,AB,AB,IB
20.0625,Student TP,IB,AB,IB
10.84375,Overlap,IA,AB,IB
19.6875,Other,IAB,AB,IB
16.375,Similarity,I,IAB,IA
3.25,Similarity,A,IAB,IA
9.65625,Teacher,B,IAB,IA
8.3125,Overlap,AB,IAB,IA
7.03125,Overlap,IB,IAB,IA
10.34375,Similarity,IA,IAB,IA
10.15625,Teacher SP,IAB,IAB,IA
37.375,Similarity,I,IB,IAB
90.71875,Student,A,IB,IAB
37.15625,Similarity,B,IB,IAB
40.15625,Overlap,AB,IB,IAB
41.5625,Similarity,IB,IB,IAB
38.625,Overlap,IA,IB,IAB
42.21875,Student TP,IAB,IB,IAB
3.75,Student,I,AB,IAB
0.21875,Similarity,A,AB,IAB
6.28125,Similarity,B,AB,IAB
9.875,Similarity,AB,AB,IAB
11.09375,Overlap,IB,AB,IAB
7.78125,Overlap,IA,AB,IAB
12.8125,Student TP,IAB,AB,IAB
31.0,Similarity,I,IAB,IB
0.0,Teacher,A,IAB,IB
22.78125,Similarity,B,IAB,IB
17.28125,Overlap,AB,IAB,IB
24.34375,Similarity,IB,IAB,IB
4.78125,Overlap,IA,IAB,IB
21.40625,Teacher SP,IAB,IAB,IB
10.1875,Similarity,I,IB,IA
17.59375,Student,A,IB,IA
5.65625,Teacher,B,IB,IA
4.15625,Overlap,AB,IB,IA
13.5,Teacher SP,IB,IB,IA
9.9375,Student TP,IA,IB,IA
12.8125,Other,IAB,IB,IA
11.46875,Teacher,I,IAB,A
66.75,Similarity,A,IAB,A
21.15625,Teacher,B,IAB,A
27.5625,Other,AB,IAB,A
32.71875,Teacher,IB,IAB,A
16.90625,Other,IA,IAB,A
24.625,Teacher SP,IAB,IAB,A
25.5,Student,I,AB,IA
0.21875,Similarity,A,AB,IA
21.40625,Teacher,B,AB,IA
13.6875,Teacher SP,AB,AB,IA
14.4375,Overlap,IB,AB,IA
24.25,Student TP,IA,AB,IA
12.0625,Other,IAB,AB,IA
22.9375,Similarity,I,IB,I
20.5,Overlap,A,IB,I
5.96875,Teacher,B,IB,I
6.5,Overlap,AB,IB,I
14.9375,Teacher SP,IB,IB,I
23.125,Other,IA,IB,I
14.9375,Other,IAB,IB,I
15.6875,Teacher,I,IAB,A
71.59375,Similarity,A,IAB,A
20.84375,Teacher,B,IAB,A
22.09375,Other,AB,IAB,A
16.8125,Teacher,IB,IAB,A
18.0625,Other,IA,IAB,A
15.90625,Teacher SP,IAB,IAB,A
1.4375,Teacher,I,IAB,AB
11.0,Similarity,A,IAB,AB
9.09375,Similarity,B,IAB,AB
15.0625,Similarity,AB,IAB,AB
13.15625,Overlap,IB,IAB,AB
8.90625,Overlap,IA,IAB,AB
11.5625,Teacher SP,IAB,IAB,AB
37.46875,Similarity,I,IB,IB
90.0,Overlap,A,IB,IB
33.625,Similarity,B,IB,IB
36.4375,Overlap,AB,IB,IB
41.5,Similarity,IB,IB,IB
39.0625,Overlap,IA,IB,IB
41.40625,Other,IAB,IB,IB
11.90625,Teacher,I,IB,AB
0.0,Student,A,IB,AB
7.21875,Similarity,B,IB,AB
6.46875,Student TP,AB,IB,AB
10.0625,Teacher SP,IB,IB,AB
12.65625,Overlap,IA,IB,AB
11.96875,Other,IAB,IB,AB
10.71875,Similarity,I,IB,I
5.21875,Overlap,A,IB,I
6.40625,Teacher,B,IB,I
7.5,Overlap,AB,IB,I
9.34375,Teacher SP,IB,IB,I
10.375,Other,IA,IB,I
9.78125,Other,IAB,IB,I
11.8125,Student,I,AB,IB
17.625,Teacher,A,AB,IB
13.21875,Similarity,B,AB,IB
12.59375,Teacher SP,AB,AB,IB
21.375,Student TP,IB,AB,IB
11.09375,Overlap,IA,AB,IB
20.1875,Other,IAB,AB,IB
0.84375,Overlap,I,AB,B
9.625,Teacher,A,AB,B
49.84375,Similarity,B,AB,B
27.8125,Teacher SP,AB,AB,B
2.5,Other,IB,AB,B
0.875,Overlap,IA,AB,B
2.59375,Other,IAB,AB,B
13.15625,Teacher,I,IB,B
78.53125,Overlap,A,IB,B
13.3125,Similarity,B,IB,B
9.96875,Other,AB,IB,B
